Date,LTP,% Change,High,Low,Open,Qty.,Turnover
2024-11-21,1645.0,0.85,1695.0,1610.0,1610.0,15912.0,26519035.6
2024-11-20,1631.2,-0.54,1650.0,1621.0,1640.0,4502.0,7360598.1
2024-11-19,1640.0,-2.44,1690.0,1640.0,1680.0,7344.0,12210838.6
2024-11-17,1681.0,1.27,1705.0,1666.0,1690.0,13875.0,23482924.1
2024-11-14,1660.0,1.53,1665.0,1612.0,1635.0,8267.0,13643087.2
2024-11-13,1635.0,0.0,1650.0,1610.1,1635.0,5588.0,9131867.9
2024-11-12,1635.0,-1.21,1670.0,1623.0,1623.0,4573.0,7508313.4
2024-11-11,1655.0,3.76,1700.1,1600.0,1600.0,12189.0,20151858.0
2024-11-10,1595.0,1.07,1612.6,1581.2,1581.2,5774.0,9225155.6
2024-11-06,1578.1,0.2,1595.0,1547.0,1547.0,2723.0,4307555.8
2024-11-05,1575.0,0.0,1606.0,1568.0,1575.0,3108.0,4939357.9
2024-10-30,1575.0,0.89,1580.0,1543.0,1562.0,3925.0,6161980.6
2024-10-29,1561.1,2.02,1581.0,1530.0,1530.0,4427.0,6910632.8
2024-10-28,1530.2,0.34,1545.0,1505.0,1506.0,3139.0,4804213.4
2024-10-27,1525.0,-0.65,1545.0,1520.0,1533.0,3788.0,5798851.8
2024-10-24,1535.0,0.07,1555.7,1511.0,1511.0,4179.0,6409604.5
2024-10-23,1534.0,-0.2,1567.7,1510.0,1567.7,2028.0,3121472.0
2024-10-22,1537.0,0.79,1550.0,1520.0,1540.0,2615.0,4000145.1
2024-10-21,1525.0,-2.62,1566.0,1515.0,1566.0,7134.0,10899100.7
2024-10-20,1566.0,-1.82,1590.0,1564.0,1570.0,6338.0,9969645.9
2024-10-17,1595.0,-0.31,1612.0,1595.0,1600.0,5170.0,8291415.0
2024-10-16,1600.0,0.95,1616.0,1585.0,1585.1,2635.0,4222036.6
2024-10-15,1585.0,0.96,1620.0,1570.1,1601.0,2725.0,4339533.7
2024-10-09,1570.0,1.36,1574.9,1524.0,1524.0,2250.0,3494935.4
2024-10-09,1570.0,1.36,1574.9,1524.0,1524.0,2250.0,3494935.4
2024-10-08,1549.0,-0.4,1586.0,1530.0,1586.0,2686.0,4154054.5
2024-10-07,1555.2,1.98,1586.0,1550.0,1555.0,4326.0,6768400.7
2024-10-06,1525.0,0.66,1544.0,1484.8,1515.0,3857.0,5910505.5
2024-10-02,1515.0,-1.62,1550.0,1510.0,1549.9,5447.0,8345015.4
2024-10-01,1540.0,4.91,1540.2,1470.6,1497.0,4932.0,7451388.7
2024-09-30,1467.9,1.37,1474.9,1425.0,1425.0,2724.0,3984011.4
2024-09-29,1448.0,-0.48,1460.0,1426.0,1426.0,6345.0,9139009.7
2024-09-26,1455.0,-0.74,1483.0,1445.0,1455.0,5444.0,7967068.8
2024-09-25,1465.9,2.51,1470.0,1403.0,1440.0,14213.0,20320805.2
2024-09-24,1430.0,-4.67,1530.0,1430.0,1500.0,13441.0,19625755.9
2024-09-23,1500.0,-3.41,1555.0,1500.0,1555.0,7093.0,10842863.7
